Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
VÌ VẬY CÔNG TY B PHẢI CÓ TRÁCH NHIỆM BỒI THƯỜNG," Vì vậy, công ty B phải có trách nhiệm bồi thường.","Vì vậy, công ty B phải có trách nhiệm bồi thường.",vì vậy công ty b phải có trách nhiệm bồi thường,vì vậy công ty b phải có trách nhiệm bồi thường,vì vậy công ty b phải có trách nhiệm bồi thường,0,0
MONG BẠN BÌNH TÂM SUY NGHĨ VÀ CHỌN ĐƯỢC CÁCH GIẢI QUYẾT TỐT NHẤT, Mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất.,Mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất.,mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất,mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất,mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất,0,0
TÔI ĐÃ NHIỀU LẦN PHẢN ĐỐI QUYẾT LIỆT VIỆC NƯỚC THẢI TUỒN RA NGOÀI, Tôi đã nhiều lần phản đối quyết liệt việc nước thải tuồn ra ngoài.,Tôi đã nhiều lần phản đối quyết liệt việc nước thải tuôn ra ngoài.,tôi đã nhiều lần phản đối quyết liệt việc nước thải tuồn ra ngoài,tôi đã nhiều lần phản đối quyết liệt việc nước thải tuồn ra ngoài,tôi đã nhiều lần phản đối quyết liệt việc nước thải tuôn ra ngoài,0,0.0714
HƠN LÀ DẪN DẮT CÁC EM THEO CHỦ Ý CỦA GIÁO VIÊN, hơn là dẫn dắt các em theo chủ ý của giáo viên.,"Hơn là dẫn dắt các em theo chủ ý của giáo viên.
",hơn là dẫn dắt các em theo chủ ý của giáo viên,hơn là dẫn dắt các em theo chủ ý của giáo viên,hơn là dẫn dắt các em theo chủ ý của giáo viên,0,0
BỐN NĂM TRỜI BỊ CÂM MỘT MÌNH VỚI BÓNG MÌNH NHIỀU PHEN ÒA KHÓC," 4 năm trời bị căm một mình với bóng, mình nhiều phen à khóc.","bốn năm trời bị cam một mình với bóng, mình nhiều phen oằn khóc.",bốn năm trời bị câm một mình với bóng mình nhiều phen òa khóc,bốn năm trời bị căm một mình với bóng mình nhiều phen à khóc,bốn năm trời bị cam một mình với bóng mình nhiều phen oằn khóc,0.1429,0.1429
HẮN THAY ĐỔI LẦM LÌ SAU KHI THEO GIA ĐÌNH ĐẾN XỨ NGƯỜI, Hắn thay đổi làm lì sau khi theo gia đình đến xứ người,"Chăm chỉ, siêng năng, cần cù, cố gắng, chịu khó.",hắn thay đổi lầm lì sau khi theo gia đình đến xứ người,hắn thay đổi làm lì sau khi theo gia đình đến xứ người,chăm chỉ siêng năng cần cù cố gắng chịu khó,0.0769,1
THỈNH THOẢNG CON ĐI QUA DỪNG LẠI DỰNG XE NGỒI HÚT THUỐC, Thỉnh thoảng con đi qua dừng lại dừng xe ngồi hút thuốc,Thỉnh thoảng con đi qua dừng lại dựng xe ngồi hút thuốc.,thỉnh thoảng con đi qua dừng lại dựng xe ngồi hút thuốc,thỉnh thoảng con đi qua dừng lại dừng xe ngồi hút thuốc,thỉnh thoảng con đi qua dừng lại dựng xe ngồi hút thuốc,0.0833,0
ÔNG DƯƠNG ĐỨC LÂN PHÓ TỔNG CỤC TRƯỞNG TỔNG CỤC DẠY NGHỀ, Ông Dương Đức Lân Phó Tổng cục trưởng Tập Cục Chạy Nghề,"Ông Dương Đức Lân, phó tổng cục trưởng Tổng cục dạy nghề.",ông dương đức lân phó tổng cục trưởng tổng cục dạy nghề,ông dương đức lân phó tổng cục trưởng tập cục chạy nghề,ông dương đức lân phó tổng cục trưởng tổng cục dạy nghề,0.1667,0
VẬY AI SẼ CHỊU TRÁCH NHIỆM VỀ NHỮNG TRƯỜNG HỢP NÀY, Vậy ai sẽ chịu trách nhiệm về những trường hợp này?,Vậy ai sẽ chịu trách nhiệm về những trường hợp này?,vậy ai sẽ chịu trách nhiệm về những trường hợp này,vậy ai sẽ chịu trách nhiệm về những trường hợp này?,vậy ai sẽ chịu trách nhiệm về những trường hợp này?,0.0909,0.0909
NÔNG DÂN TRỒNG MÍA THAN CỨ MỘT VỤ ĐƯỢC LẠI BA VỤ THẤT, Nông dân trồng mía thang cứ một vụ lại được ba vụ thức,nông dân trồng mía than cứ một vụ lại được ba vụ thức.,nông dân trồng mía than cứ một vụ được lại ba vụ thất,nông dân trồng mía thang cứ một vụ lại được ba vụ thức,nông dân trồng mía than cứ một vụ lại được ba vụ thức,0.3077,0.2308
TRÒ ĐÙA ĐỐI VỚI THẦY NHƯNG LẠI LÀ CHÂN THẬT CHÂN THẬT VỚI MỘT NGƯỜI, Trò đùa đối với thầy nhưng lại là chân thật chân thật với một người,"Trò đùa đối với thầy nhưng lại là chân thật, chân thật với một người.
",trò đùa đối với thầy nhưng lại là chân thật chân thật với một người,trò đùa đối với thầy nhưng lại là chân thật chân thật với một người,trò đùa đối với thầy nhưng lại là chân thật chân thật với một người,0,0
VẬY MÀ GIỜ ĐÂY NÓ KHÔNG ĐỢI ĐƯỢC ĐẾN LÚC HUY VỀ, Vậy mà giờ đây nó không đợi được đến lúc Huy về,"Vậy mà giờ đây nó không đợi được đến lúc Huy về.
",vậy mà giờ đây nó không đợi được đến lúc huy về,vậy mà giờ đây nó không đợi được đến lúc huy về,vậy mà giờ đây nó không đợi được đến lúc huy về,0,0
MUỐN CÓ BẰNG LÁI PHẢI QUA MỘT ĐỢT THI RẤT KHẮT KHE, Vốn có bằng lái phải qua một đợt thi rất khát khe,muốn có bằng lái phải qua một đợt thi rất khắt khe.,muốn có bằng lái phải qua một đợt thi rất khắt khe,vốn có bằng lái phải qua một đợt thi rất khát khe,muốn có bằng lái phải qua một đợt thi rất khắt khe,0.1667,0
TUY PHÍA TRƯỚC CÒN VÔ VÀ KHÓ KHĂN ĐỐI VỚI CON, Tuy phía trước còn vô và khó khăn đối với con,tuyết thế trước còn vô và khó khăn đối với con.,tuy phía trước còn vô và khó khăn đối với con,tuy phía trước còn vô và khó khăn đối với con,tuyết thế trước còn vô và khó khăn đối với con,0,0.1818
NHƯNG TRƯỚC ĐÂY NHÌN TỪ BÊN NGOÀI NƠI NÀY KHÔNG KHÁC MỘT CĂN NHÀ HOANG, Trước đây nhìn từ bên ngoài nơi này không khác gì một căn nhà hoang,trước đây nhìn từ bên ngoài nơi này không khác gì một căn nhà hoang.,nhưng trước đây nhìn từ bên ngoài nơi này không khác một căn nhà hoang,trước đây nhìn từ bên ngoài nơi này không khác gì một căn nhà hoang,trước đây nhìn từ bên ngoài nơi này không khác gì một căn nhà hoang,0.1333,0.1333
EM SỢ MẤT ANH ẤY NHƯNG LẠI CẢM THẤY MÌNH BỊ XÚC PHẠM, Em sợ mất anh ấy nhưng là cảm thấy mình bị xúc phạm,"Em sợ mất anh ấy nhưng lại cảm thấy mình bị xúc phạm.
",em sợ mất anh ấy nhưng lại cảm thấy mình bị xúc phạm,em sợ mất anh ấy nhưng là cảm thấy mình bị xúc phạm,em sợ mất anh ấy nhưng lại cảm thấy mình bị xúc phạm,0.0769,0
NGƯỜI PHÁP ĐÃ ĐỒNG Ý VỚI CÁCH QUẢN LÝ LĨNH VỰC DÀNH RIÊNG, Người Pháp đã đồng ý với cách quản lý lĩnh vực dành riêng.,"Người Pháp đã đồng ý với cách quản lý lĩnh vực danh riêng.
",người pháp đã đồng ý với cách quản lý lĩnh vực dành riêng,người pháp đã đồng ý với cách quản lý lĩnh vực dành riêng,người pháp đã đồng ý với cách quản lý lĩnh vực danh riêng,0,0.0769
ĐÓ LÀ NHẬN XÉT CHUNG CỦA NHIỀU TỔNG GIÁM ĐỐC ĐIỀU HÀNH NGÀY NAY, Đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay,Đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay.,đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay,đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay,đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay,0,0
CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT, Có nhưng phải là thuốc đặc trị của pháp hiếm vật cực kỳ đắt,"Có, nhưng phải là thuốc đặc trị của pháp hiếm và cực kỳ đắt.",có nhưng phải là thuốc đặc trị của pháp hiếm và cực kỳ đắt,có nhưng phải là thuốc đặc trị của pháp hiếm vật cực kỳ đắt,có nhưng phải là thuốc đặc trị của pháp hiếm và cực kỳ đắt,0.0714,0
ĐỐI XỬ VỚI BẠN NHƯ NGƯỜI YÊU CŨ CỦA BẠN ĐÃ TỪNG LÀM, Đối xử với bạn như người yêu cũ của bạn đã từng làm,Đối xử với bạn như người yêu cũ của bạn đã từng làm.,đối xử với bạn như người yêu cũ của bạn đã từng làm,đối xử với bạn như người yêu cũ của bạn đã từng làm,đối xử với bạn như người yêu cũ của bạn đã từng làm,0,0
BIÊN CHẾ NÀY NHÀ THANH GỌI LÀ AN NAM QUỐC NHẠC, Biên chế này nhà Thanh gọi là An Nam Quốc Nhạc.,biên chế này nhà Thanh gọi là An Nam Quốc Điền.,biên chế này nhà thanh gọi là an nam quốc nhạc,biên chế này nhà thanh gọi là an nam quốc nhạc,biên chế này nhà thanh gọi là an nam quốc điền,0,0.0909
RẠCH BÀU MỚP, Rạch bào mướp,Rạch Bầu Mứt.,rạch bàu mớp,rạch bào mướp,rạch bầu mứt,0.6667,0.6667
ĂN CÁ NGỪ CÁ THU VÀ CÁ MÒI VỚI RAU TRỘN, Ăn cá ngự cá thu và cá mòi với rau trộn,"ăn cá ngừ, cá thu và cá mòi với rau trộn.
",ăn cá ngừ cá thu và cá mòi với rau trộn,ăn cá ngự cá thu và cá mòi với rau trộn,ăn cá ngừ cá thu và cá mòi với rau trộn,0.0909,0
ĐÓ CŨNG LÀ ĐỘNG LỰC THÚC ĐẨY TÔI, Đó cũng là động lực thúc đẩy tôi.,Đó cũng là động lực thúc đẩy tôi.,đó cũng là động lực thúc đẩy tôi,đó cũng là động lực thúc đẩy tôi,đó cũng là động lực thúc đẩy tôi,0,0
CHỦ TỊCH NƯỚC ĐÃ ĐẾN KIỂM TRA TIẾN ĐỘ THI CÔNG, Chủ tịch nước đã đánh kiểm tra tiến độ thiết công.,Chủ tịch nước đã đến kiểm tra tiến độ thi công.,chủ tịch nước đã đến kiểm tra tiến độ thi công,chủ tịch nước đã đánh kiểm tra tiến độ thiết công,chủ tịch nước đã đến kiểm tra tiến độ thi công,0.1818,0
BA NÀY CHỈ GIỎI BỐC PHÉT, Ba này chỉ dõi bốc phát,"ba này, chị giỏ bốc phép.
",ba này chỉ giỏi bốc phét,ba này chỉ dõi bốc phát,ba này chị giỏ bốc phép,0.3333,0.5
CÔ CHỈ MỚI VÀO LƯỚI NHẶT BÓNG HAI LẦN, Cua chỉ mới vào lưới nhặt bóng 2 lần.,Cua chỉ mới vào lưới nhặt bóng hai lần.,cô chỉ mới vào lưới nhặt bóng hai lần,cua chỉ mới vào lưới nhặt bóng hai lần,cua chỉ mới vào lưới nhặt bóng hai lần,0.1111,0.1111
NGOÀI VIỆC PHÁT HIỆN KẺ THÙ, Ngoài việc phát hiện cái thù,Ngoài việc phát hiện kẻ thù.,ngoài việc phát hiện kẻ thù,ngoài việc phát hiện cái thù,ngoài việc phát hiện kẻ thù,0.1667,0
CON NHỎ MỞ CÁI TÚI GÚT ĐEO TRÊN CỔ, Con nhỏ mở cái túi gút đeo trên cổ.,"Con nhỏ mở cái túi rút đeo trên cổ.
",con nhỏ mở cái túi gút đeo trên cổ,con nhỏ mở cái túi gút đeo trên cổ,con nhỏ mở cái túi rút đeo trên cổ,0,0.1111
ANH KHEN EM ĐẸP EM CHÊ ANH GIÀ," Anh khen em đẹp, em chia anh già.","Anh khen em đẹp, em chê anh già.",anh khen em đẹp em chê anh già,anh khen em đẹp em chia anh già,anh khen em đẹp em chê anh già,0.125,0
VÌ TỐI ĐÓ, Vì tới đó,"vì tới đó.
",vì tối đó,vì tới đó,vì tới đó,0.3333,0.3333
CŨNG CHẲNG CÒN XÚNG XÍNH QUẦN ÁO MỚI, Cũng chẳng còn súng xính quần áo mới.,cũng chẳng còn sung sính quần áo mới.,cũng chẳng còn xúng xính quần áo mới,cũng chẳng còn súng xính quần áo mới,cũng chẳng còn sung sính quần áo mới,0.125,0.25
ANH ĐI CÔNG TÁC CẦN THƠ TUẦN SAU MỚI VỀ, Anh đi công tác Cần Tha tuần sau mới về.,Anh đi công tác Cần Thơ tuần sau mới về.,anh đi công tác cần thơ tuần sau mới về,anh đi công tác cần tha tuần sau mới về,anh đi công tác cần thơ tuần sau mới về,0.1,0
NGỦ TRÊN NỆM KHÔNG PHÙ HỢP, Ngủ tranh niệm không phù hợp,Ngủ trê nệm không phù hợp.,ngủ trên nệm không phù hợp,ngủ tranh niệm không phù hợp,ngủ trê nệm không phù hợp,0.3333,0.1667
NHẬN ĐƯỢC TIN NÀY GỌI LẠI CHO TÔI GẤP, Nhận được tin này gọi lại cho tôi gấp.,"Nhận được tin này, gọi lại cho tôi gấp.
",nhận được tin này gọi lại cho tôi gấp,nhận được tin này gọi lại cho tôi gấp,nhận được tin này gọi lại cho tôi gấp,0,0
NHẰM TẠO RA SỰ HẤP DẪN, Nhằm tạo ra sự hấp dẫn,"nhằm tạo ra sự hấp dẫn.
",nhằm tạo ra sự hấp dẫn,nhằm tạo ra sự hấp dẫn,nhằm tạo ra sự hấp dẫn,0,0
ĐÔI KHI BẠN CŨNG CÓ THỂ LÀM NHỮNG ĐIỀU ĐÓ, Đôi khi bạn cũng có thể làm những điều đó.,Đôi khi bạn cũng có thể làm những điều đó.,đôi khi bạn cũng có thể làm những điều đó,đôi khi bạn cũng có thể làm những điều đó,đôi khi bạn cũng có thể làm những điều đó,0,0
CHÍNH BÀ CŨNG LÀ NGƯỜI NUNG NẤU NIỀM ĐAM MÊ DIỄN XUẤT CỦA CÔ CON GÁI, Chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái,Chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái.,chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái,chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái,chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái,0,0
THỨ ÂM THANH KHÔNG CHỈ CẢM NHẬN BẰNG THÍNH GIÁC, Thứ âm thanh không chỉ cảm nhận bèn tính giấc.,"thứ âm thanh không chỉ cảm nhận bằng thính giác.
",thứ âm thanh không chỉ cảm nhận bằng thính giác,thứ âm thanh không chỉ cảm nhận bèn tính giấc,thứ âm thanh không chỉ cảm nhận bằng thính giác,0.3,0
TỪ NỖI CÔ ĐƠN CỦA MỘT CÔ BÉ BỊ CHA MẸ BỎ QUÊN, Từ nữ cô đơn của một cô bé bị cho mẹ bỏ quen,Từ nỗi cô đơn của một cô bé bị cha mẹ bỏ quên.,từ nỗi cô đơn của một cô bé bị cha mẹ bỏ quên,từ nữ cô đơn của một cô bé bị cho mẹ bỏ quen,từ nỗi cô đơn của một cô bé bị cha mẹ bỏ quên,0.2308,0
TÔI KHÔNG NỠ LÀM CÔ BÉ THẤT VỌNG, Tôi không nở làm cô bé thất vọng.,Tôi không nỡ làm cô bé thất vọng.,tôi không nỡ làm cô bé thất vọng,tôi không nở làm cô bé thất vọng,tôi không nỡ làm cô bé thất vọng,0.125,0
CÓ TRẢ TIỀN CHO BỐ KHÔNG THÌ BẢO, Có trả tiền cho bố không thì bảo,"Có trả tiền cho bố, không thì báo.
",có trả tiền cho bố không thì bảo,có trả tiền cho bố không thì bảo,có trả tiền cho bố không thì báo,0,0.125
MỘT LÀ GẶP LẠI TẤT CẢ CÁC EM PHÒ, Một là gặp lại tất cả các em phò.,"một là gặp lại tất cả các em phòng.
",một là gặp lại tất cả các em phò,một là gặp lại tất cả các em phò,một là gặp lại tất cả các em phòng,0,0.1111
TAY KIA XÁCH MỘT TAY GIÓNG MANG CHIẾC VỊM LỚN, Tay kia sách một tay giống mang chức vượm lấn.,"Tay kia sách một tay giống mang chức vị lớn.
",tay kia xách một tay gióng mang chiếc vịm lớn,tay kia sách một tay giống mang chức vượm lấn,tay kia sách một tay giống mang chức vị lớn,0.5,0.4
NHỮNG NGÀY ĐẦU VẮNG BÓNG BA VIỆT CỨ THỪ NGƯỜI NGHĨ NGỢI, Những ngày đầu ván bóng ba miệng Cứ thử người nghĩ ngửi,Những ngày đầu ván bóng ba miệt cứ thư người nghỉ ngơi.,những ngày đầu vắng bóng ba việt cứ thừ người nghĩ ngợi,những ngày đầu ván bóng ba miệng cứ thử người nghĩ ngửi,những ngày đầu ván bóng ba miệt cứ thư người nghỉ ngơi,0.3333,0.4167
BÀ NÓI, Bà nói,Bà nói.,bà nói,bà nói,bà nói,0,0
RẤT NHIỀU GỬI GẮM VÀ KỲ VỌNG VÀO ÔNG, Rất nhiều gửi gắm và kỳ vọng vào ông.,"Rất nhiều gửi gắm và kỳ vọng vào ông.
",rất nhiều gửi gắm và kỳ vọng vào ông,rất nhiều gửi gắm và kỳ vọng vào ông,rất nhiều gửi gắm và kỳ vọng vào ông,0,0
NGHĨA LÀ KÉM CỎI NAM TÍNH HAY SAO," Nghĩa là kiếm cỏ, non tính hay sâu",Kiếm cỏ nom tính hay sao?,nghĩa là kém cỏi nam tính hay sao,nghĩa là kiếm cỏ non tính hay sâu,kiếm cỏ nom tính hay sao?,0.5,0.75
CAM SÀNH LỘT VỎ CÒN CHUA, Công sành lọc vỏ còn chưa,"Công danh lộc võ công chưa.
",cam sành lột vỏ còn chua,công sành lọc vỏ còn chưa,công danh lộc võ công chưa,0.5,1
CHO TÔI NHẮN ĐẠI TIN NÀO CŨNG ĐƯỢC, Cho tôi nhấn đại tin nào cũng được,"Cho tôi nhấn đài tin nào cũng được.
",cho tôi nhắn đại tin nào cũng được,cho tôi nhấn đại tin nào cũng được,cho tôi nhấn đài tin nào cũng được,0.125,0.25
ĐANG THẢO LUẬN VỀ ĐỀ XUẤT, Đăng thảo luận về đề xuất.,đang thảo luận về đề xuất.,đang thảo luận về đề xuất,đăng thảo luận về đề xuất,đang thảo luận về đề xuất,0.1667,0
CHÁU SỐT NÊN RẸO RỌC SUỐT ĐÊM, Cháo sốc nanh rẹo rọc suốt đêm,"Cháu sốc nên réo rọc suốt đêm.
",cháu sốt nên rẹo rọc suốt đêm,cháo sốc nanh rẹo rọc suốt đêm,cháu sốc nên réo rọc suốt đêm,0.4286,0.2857
TRƠ TRỌI GIỮA ĐỒNG CÁI NHÌN KHẮC KHOẢI, Trơ trại giữa đồng cái nhìn khoắc khoải,"trơ trọi, giữa đồng cái nhìn khoác khoải.
",trơ trọi giữa đồng cái nhìn khắc khoải,trơ trại giữa đồng cái nhìn khoắc khoải,trơ trọi giữa đồng cái nhìn khoác khoải,0.25,0.125
NHỮNG SAI LẦM KHI ĐI CHỌN KHÁCH SẠN, Những sai lầm khi đi chọn khách sạn,Những sai lầm khi đi chọn khách sạn.,những sai lầm khi đi chọn khách sạn,những sai lầm khi đi chọn khách sạn,những sai lầm khi đi chọn khách sạn,0,0
GÍ HÒN THAN VÀO RƠM, Ghi hoàn thân vào rương,"ghí hoạn thân vào rơm.
",gí hòn than vào rơm,ghi hoàn thân vào rương,ghí hoạn thân vào rơm,0.8,0.6
SẼ KHÔNG KHIẾN BẠN TRÔNG GẦY NHƯ NHỮNG TRANG PHỤC MỘT MÀU, Sẽ không khiến bạn trông gài như những trang phục một màu,sẽ không khiến bạn trông gầy như những trang phục một màu.,sẽ không khiến bạn trông gầy như những trang phục một màu,sẽ không khiến bạn trông gài như những trang phục một màu,sẽ không khiến bạn trông gầy như những trang phục một màu,0.0833,0
NHÓM SINH VIÊN TẠI TRƯỜNG CÙNG HỌP MẶT ĂN TẾT CHUNG, Nhóm sinh viên tại trường cùng họp mặt ăn tích chung.,Nhóm sinh viên tại trường cùng họp mặt ăn tất chung.,nhóm sinh viên tại trường cùng họp mặt ăn tết chung,nhóm sinh viên tại trường cùng họp mặt ăn tích chung,nhóm sinh viên tại trường cùng họp mặt ăn tất chung,0.0909,0.0909
BỊ CÁC CÔ GÁI BAO VÂY RÁO RIẾT, Bị có cô gái bao vây ráo riết,"bị các cô gái bao vây ráo riết.
",bị các cô gái bao vây ráo riết,bị có cô gái bao vây ráo riết,bị các cô gái bao vây ráo riết,0.125,0
HOẶC CHỈ BIỂU HIỆN BẰNG CÁC RỐI LOẠN CO BÓP, Hạt chỉ biểu hiện bằng các rối loạn co bóp.,Hạch chỉ biểu hiện bằng các rối loạn co bóp.,hoặc chỉ biểu hiện bằng các rối loạn co bóp,hạt chỉ biểu hiện bằng các rối loạn co bóp,hạch chỉ biểu hiện bằng các rối loạn co bóp,0.1,0.1
CHẠM VÀO PHẦN THÓP MỀM TRÊN ĐẦU BÉ, Chạm vào phần thóp mềm trên đầu bé.,chạm vào phần thóp mềm trên đầu bé.,chạm vào phần thóp mềm trên đầu bé,chạm vào phần thóp mềm trên đầu bé,chạm vào phần thóp mềm trên đầu bé,0,0
VÀ TÔI THẤY HOA VẠN THỌ VÀNG ƯƠM, Và tôi thấy hoa vắng thỏ vàng ơm.,"và tôi thấy hoa vạn thọ vàng ươm.
",và tôi thấy hoa vạn thọ vàng ươm,và tôi thấy hoa vắng thỏ vàng ơm,và tôi thấy hoa vạn thọ vàng ươm,0.375,0
VÌ ĐÓ MỚI CHÍNH LÀ THỨ BẠN CẦN, Vì đó mới chính là thứ bạn cần,"Vì đó mới chính là thứ bạn cần.
",vì đó mới chính là thứ bạn cần,vì đó mới chính là thứ bạn cần,vì đó mới chính là thứ bạn cần,0,0
ĐẦU TIÊN LÀ BÀ CON MÌNH VẬT VÃ LÀM ĂN, Đầu tiên là bà con mình vật vã làm ăn.,Đầu tiên là bà con mình vất vả làm ăn.,đầu tiên là bà con mình vật vã làm ăn,đầu tiên là bà con mình vật vã làm ăn,đầu tiên là bà con mình vất vả làm ăn,0,0.2
NHƯ LẦN NÀY ĐƯỢC NẾM MÓN GIÒ THỦ HOÀN TOÀN LÀM TỪ TAI HEO, Như lần này được đếm món giò thủ hoàn toàn làm từ tai heo,Như lần này được đếm món giò thủ hoàn toàn làm từ tai heo.,như lần này được nếm món giò thủ hoàn toàn làm từ tai heo,như lần này được đếm món giò thủ hoàn toàn làm từ tai heo,như lần này được đếm món giò thủ hoàn toàn làm từ tai heo,0.0714,0.0714
PHỤC VỤ CHO MÙA THI ĐẠI HỌC ĐANG ĐẾN SÁT SẠT, Phục vụ cho mùa thi đại học đang đến sát sạt.,Phục vụ cho mùa thi đại học đang đến sát sạt.,phục vụ cho mùa thi đại học đang đến sát sạt,phục vụ cho mùa thi đại học đang đến sát sạt,phục vụ cho mùa thi đại học đang đến sát sạt,0,0
TRẬN CHIẾN XÍCH BÍCH, Trận chiến xích bích.,"Trận chiến Xích Bích.
",trận chiến xích bích,trận chiến xích bích,trận chiến xích bích,0,0
HAI MƯƠI TÁM HAI MƯƠI CHÍN, 28 29,"28, 29.
",hai mươi tám hai mươi chín,hai mươi tám hai mươi chín,hai mươi tám hai mươi chín,0,0
VÀO CƠ QUAN LÀ ANH HÓT GIỐNG HỆT NHỒNG MỚI LỘT LƯỠI VẬY, Vào cơ quan là anh hót giống hệt nhồng với lột lưỡi vậy.,Vào cơ quan là anh hot giống hệt nhồng với lột lưỡi vậy.,vào cơ quan là anh hót giống hệt nhồng mới lột lưỡi vậy,vào cơ quan là anh hót giống hệt nhồng với lột lưỡi vậy,vào cơ quan là anh hot giống hệt nhồng với lột lưỡi vậy,0.0769,0.1538
THÌ BỖNG NGHE THẤY TIẾNG OÁC OÁC TỪ VẠT RỪNG PHI LAO, Thì bỗng nghe tiếng oát oát từ vạt rừng phi lao.,thì bỗng nghe tiếng oác oác từ vạt rừng phi lao.,thì bỗng nghe thấy tiếng oác oác từ vạt rừng phi lao,thì bỗng nghe tiếng oát oát từ vạt rừng phi lao,thì bỗng nghe tiếng oác oác từ vạt rừng phi lao,0.25,0.0833
BẢY MƯƠI TÁM BẢY MƯƠI CHÍN, 78 79,78 79,bảy mươi tám bảy mươi chín,bảy mươi tám bảy mươi chín,bảy mươi tám bảy mươi chín,0,0
CÓ HAI TÁC DỤNG TÍCH CỰC, có hai tác dụng tích cực.,"Hai tác động tích cực.
",có hai tác dụng tích cực,có hai tác dụng tích cực,hai tác động tích cực,0,0.3333
NƠI CÓ MẤY TÊN TRÔNG RẤT GẤU, Nơi có mấy tên trông rất gấu,Hai tên.,nơi có mấy tên trông rất gấu,nơi có mấy tên trông rất gấu,hai tên,0,0.8571
ĐÃ CÓ DỰ ÁN ĐỂ XÂY DỰNG MỘT CÁI CẦU TỪ ĐẤT LIỀN, đã có dự án để xây dựng một cái cầu từ đất liền.,Đã có dự án để xây dựng một cái cầu từ đất liền.,đã có dự án để xây dựng một cái cầu từ đất liền,đã có dự án để xây dựng một cái cầu từ đất liền,đã có dự án để xây dựng một cái cầu từ đất liền,0,0
CHỦ TÀU CHO BIẾT SẼ TIẾP TỤC THƯƠNG THUYẾT VỀ SỐ CHI PHÍ NÀY, Chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này.,Chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này.,chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này,chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này,chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này,0,0
HOẶC CHO VÀO VẠI MUỐI ĐỂ LỢN ĂN DẦN, hoặc cho vào vải muối để lợn ăn dần,"Hoặc cho vào vải muối để lợn ăn dần.
",hoặc cho vào vại muối để lợn ăn dần,hoặc cho vào vải muối để lợn ăn dần,hoặc cho vào vải muối để lợn ăn dần,0.1111,0.1111
THAM GIA GIẢNG DẠY LÀ LỰC LƯỢNG ĐOÀN VIÊN, Tham gia giảng dạy là lực lượng đoàn viên.,Tham gia giảng dạy là lực lượng đoàn viên.,tham gia giảng dạy là lực lượng đoàn viên,tham gia giảng dạy là lực lượng đoàn viên,tham gia giảng dạy là lực lượng đoàn viên,0,0
CHÍU CHÍT GỢI TÌNH MẸ CON SUM HỌP, Chiếu chích gọi tình mẹ con xung hợp,"chiếu chít gợi tình mẹ con sum họp.
",chíu chít gợi tình mẹ con sum họp,chiếu chích gọi tình mẹ con xung hợp,chiếu chít gợi tình mẹ con sum họp,0.625,0.125
SÁU MƯƠI TÁM SÁU MƯƠI CHÍN, 68 69,68 69,sáu mươi tám sáu mươi chín,sáu mươi tám sáu mươi chín,sáu mươi tám sáu mươi chín,0,0
MÀ CHO ĐẾN LÚC ĐÓ ĐƯỢC XEM LÀ CỦA TƯ NHÂN, Mà cho đến lúc đó được xem là của tư nhân,mà cho đến lúc đó được xem là của tư nhân.,mà cho đến lúc đó được xem là của tư nhân,mà cho đến lúc đó được xem là của tư nhân,mà cho đến lúc đó được xem là của tư nhân,0,0
ÁNG CHỪNG ĐÃ NGOẠI BẢY MƯƠI, Án chừng đã ngoại 70.,"Án chừng đã ngoài 70.
",áng chừng đã ngoại bảy mươi,án chừng đã ngoại bảy mươi,án chừng đã ngoài bảy mươi,0.1667,0.3333
